SR Code,Program,Year Level,Section,Where are you staying this first semester AY 2020-2021?,Device/s that will be used during online classes (Check all that applies),Final Exam Part 1,Final Exam Part 2,Midterm Exam Part 1,Midterm Exam Part 2,Midterm Exam Part 3,Long Quiz 1,Homework 1,Homework 2,Individual Recitation 1,Individual Recitation 2,Final Grade,Remarks
19-02148,BS MEXE,Third Year,MEXE-3106,at home,Basic mobile phone,8,11,23,0,7.5,40,30,6,32,31,78,PASS
19-04226,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,8,11,15,0,5.3,12,,40,35,33,69,FAIL
19-06401,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,16,10,25,4,17.5,39,30,55,34,33,87,PASS
19-02518,BS MEXE,Fourth Year,MEXE-3106,at a boarding house,Smart Phones / Android Phones,31,10,20,0,0.8,20,27,15,35,35,80,PASS
19-05281,BS MEXE,Third Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",25,11,12,12,11.3,28,30,30,32,25,83,PASS
19-05599,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,25,10,28,4,14.8,37,30,55,35,34,89,PASS
19-02970,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,20,7,27,4,3,32,30,60,35,34,84,PASS
19-04849,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,12,8,13,16,6.3,35,30,55,35,33,85,PASS
19-06336,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,25,12,23,0,14.8,26,27,53,34,29,85,PASS
19-02971,BS MEXE,Third Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",24,9,22,4,8.3,33,30,50,33,31,84,PASS
19-00910,BS MEXE,Third Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",36,12,25,4,15.5,34,30,51,34,35,91,PASS
19-08549,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,11,10,24,16,15.3,40,30,54,33,33,89,PASS
19-07831,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,25,8,27,4,14.3,20,30,50,34,35,86,PASS
19-01462,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,33,14,32,4,13.5,17,30,54,35,16,87,PASS
19-00271,BS MEXE,Third Year,MEXE-3106,at a relative's home,Smart Phones / Android Phones,25,5,32,0,0.8,32,30,50,28,34,81,PASS
19-04559,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,36,12,22,8,16,20,30,54,14,34,87,PASS
19-02807,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,28,10,30,0,3.8,33,30,60,31,33,85,PASS
19-05040,BS MEXE,Fourth Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",7,2,13,16,2.8,35,,31,27,32,67,FAIL
19-06602,BS MEXE,Fourth Year,MEXE-3106,at home,Basic mobile phone,4,7,18,0,3.8,27,16,43,26,11,68,FAIL
19-05597,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,25,12,28,0,14.5,35,30,58,27,28,86,PASS
19-01468,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,20,5,22,0,9.8,31,30,60,21,31,79,PASS
19-01740,BS MEXE,Fourth Year,MEXE-3106,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",11,7,25,0,12,37,30,43,17,30,77,PASS
19-00017,BS MEXE,Fourth Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones, Tablet / iPad, Basic mobile phone",20,12,29,0,12.8,32,30,53,32,35,86,PASS
19-01513,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,17,12,31,0,8.3,21,30,50,35,24,82,PASS
19-03280,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,25,12,24,0,12.8,19,30,50,35,35,86,PASS
19-01009,BS MEXE,Fourth Year,MEXE-3106,at home,Basic mobile phone,19,5,14,12,4.5,13,30,15,25,34,77,PASS
19-01539,BS MEXE,Fourth Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",20,14,34,8,16.5,18,30,54,35,34,91,PASS
19-01728,BS MEXE,Fourth Year,MEXE-3106,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",28,13,32,16,19,39,30,58,35,35,97,PASS
19-05541,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,18,14,25,0,13.8,22,30,54,35,34,87,PASS
19-08909,BS MEXE,Fourth Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",22,13,27,4,12.8,37,30,55,35,34,89,PASS
19-09110,BS MEXE,Fourth Year,MEXE-3106,at home,Laptop /Personal Computer,19,7,17,8,0.8,39,30,54,34,34,83,PASS
19-01388,BS MEXE,Fourth Year,MEXE-3106,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",28,13,25,8,14.3,19,30,54,35,31,89,PASS
19-02585,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,27,9,31,4,15.3,8,30,40,32,35,85,PASS
