SR Code,Program,Year Level,Section,Where are you staying this first semester AY 2020-2021?,Device/s that will be used during online classes (Check all that applies),Final Exam Part 1,Final Exam Part 2,Midterm Exam Part 1,Midterm Exam Part 2,Midterm Exam Part 3,Long Quiz 1,Homework 1,Homework 2,Individual Recitation 1,Individual Recitation 2,Final Grade,Remarks
20-05271,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",26,11,32,16,18,40,30,36,34,35,93,PASS
20-04987,BS MEXE,Third Year,3101,at home,Laptop /Personal Computer,28,10,33,8,19,37,30,32,34,35,90,PASS
20-04576,BS MEXE,Third Year,3101,at home,Smart Phones / Android Phones,33,11,28,8,15,28,30,21,27,32,86,PASS
20-04221,BS MEXE,Third Year,3101,at home,Smart Phones / Android Phones,22,12,28,4,15,21,30,54,35,34,88,PASS
20-04909,BS MEXE,Third Year,3101,at home,Smart Phones / Android Phones,22,12,28,4,12,33,30,54,35,34,88,PASS
20-07887,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",10,13,30,12,10.5,21,30,54,35,29,87,PASS
20-00935,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",33,12,28,16,18,2,30,34,35,34,92,PASS
20-03926,BS MEXE,Third Year,3101,at a relative's home,Laptop /Personal Computer,24,5,21,0,14.3,27,30,54,29,30,81,PASS
20-08438,BS MEXE,Third Year,3101,at home,Laptop /Personal Computer,20,6,22,4,14,15,30,40,35,34,82,PASS
20-04565,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",25,14,29,4,15.3,34,30,40,35,33,89,PASS
20-00725,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",23,14,23,0,10.5,20,30,54,35,35,87,PASS
20-69891,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",25,11,27,4,12,37,30,54,35,34,88,PASS
20-05321,BS MEXE,Third Year,3101,at home,Laptop /Personal Computer,30,6,23,0,18,24,30,36,35,35,84,PASS
20-05675,BS MEXE,Third Year,3101,at home,"Smart Phones / Android Phones, Basic mobile phone",16,11,22,4,15.3,34,30,40,35,33,85,PASS
20-07372,BS MEXE,Third Year,3101,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",12,14,26,4,13.8,20,30,54,35,35,87,PASS
20-08710,BS MEXE,Third Year,3101,at home,Laptop /Personal Computer,33,13,32,4,14.8,34,30,40,33,35,91,PASS
20-02222,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",24,10,30,8,14.5,38,30,32,32,32,86,PASS
20-07598,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",33,13,21,16,18.5,29,30,54,33,34,95,PASS
20-09415,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",18,14,33,16,18,22,30,54,34,35,94,PASS
20-04387,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",18,6,17,0,17,34,30,54,34,33,83,PASS
20-09721,BS MEXE,Third Year,3101,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",33,12,18,4,8,38,30,40,35,34,87,PASS
20-06483,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",20,11,32,0,14.5,17,30,40,31,35,84,PASS
20-08039,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Tablet / iPad",9,13,23,4,15.5,22,30,54,33,30,85,PASS
20-02560,BS MEXE,Third Year,3101,at a boarding house,Laptop /Personal Computer,,,,,,,,,,,,
